Column1,Column2
Question,Answer
‘QPay үйлчилгээ’ гэж юу вэ ,"ХасБанкны интернэт банкны харилцагч ухаалаг утсанд зориулсан “XacBank” аппликейшныг ашиглан QR /КЮ-АР/ кодыг уншуулан төлбөр төлөх, өөрийн дансандаа QR код үүсгэх буюу нэхэмжлэх үүсгэж дансандаа орлого хүлээн авах боломжтой үйлчилгээ юм."
Хэрхэн QPay үйлчилгээний хэрэглэгч болох вэ ,Та зөвхөн ХасБанкны интернэт банкны хэрэглэгч байхад л хангалттай бөгөөд мөн ухаалаг утсандаа XacBank аппликейшныг суулгасан байх шаардлагатай.
Хэн ашиглах боломжтой байх вэ ,QR унших боломж нь ХасБанк АПП дээр шинэ нэмэлт функц болж нэмэгдэнэ. Интернэт банкны үйлчилгээнд бүртгэлтэй бөгөөд гар утсандаа (ухаалаг) ХасБанк суулгасан харилцагч бүр нь энэхүү боломжийг ашиглах боломжтой байна.
"Хэрхэн яаж ашиглах вэ, өөрөөр хэлбэл төлбөр төлөлт яаж хийх вэ ",QR уншиж төлбөр төлөх боломжтой харилцагч бүр нь QR код агуулсан төлбөрийн нэхэмжлэх эсхүл SIGN-ыг уншуулж гарч ирэх дэлгэрэнгүй задаргааг нягталсны дараа цааш нь гүйлгээ хийнэ.
Хамтран зээлдэгч гэж хэн бэ ,"Зээлийн гэрээнд зээлдэгчийн нэгэн адил эрх эдэлж, үүрэг хүлээж байгаа этгээдийг хамтран зээлдэгч гэнэ."
Батлан даагч гэж хэн бэ ,"Зээлдэгч нь авсан зээл, хүүг гэрээнд заасан хугацаанд гүйцэтгэж чадахыг Банкны өмнө баталж, хэрэв гүйцэтгэхгүй бол зээлдэгчийн өмнөөс зээлийн төлбөрийг төлөх үүрэг хүлээж Банктай гэрээ байгуулсан иргэн, хуулийн этгээдийг хэлнэ."
"Хуулийн этгээдийн нэр дээр зээлтэй бол хувь эзэмшигч, захирал нь зээл авч болох уу ",Банкны шаардлагыг хангаж байгаа бол болно.
Бизнесийн зээлтэй бол төслийн зээл авч болох уу ,Төслийн зээлийн нэмэлт шалгуурыг хангаж байгаа тохиолдолд болно. Банканд урьдчилан мэдэгдэх шаардалагатай.
Төслийн зээлтэй бол бизнесийн зээл авч болох уу ,Банкны шалгуур үзүүлэлтүүдийг хангаж байгаа бол болно.
"Өмнө нь огт зээл авч байгаагүй иргэн, хуулийн этгээд зээл авч бололх уу ",Болно. Зээлийн шалгуур үзүүлэлтүүд хангасан тохиолдолд судалж үзсэний үндсэн дээр зээл олгох эсэх шийдвэр гаргана.
Өөр бусад банканд зээлтэй бол бизнесийн зээл авах боломжтой юу ,"Боломжтой. Бусад банкны зээлийн мэдээлэл, таны бизнесийн зээлийн судалгааг хийж үзсэний үндсэн дээр зээл олгох эсэх шийдвэр гаргана."
Бизнесийн зээлд хамтран үүрэг гүйцэтгэгч заавал шаардах уу ,Зээлийн эрсдэлийн үнэлгээнээс хамааран шаардана.
"Орон сууцны зээл, өрхийн хэрэглээний бусад зээлтэй бол бизнесийн зээл авч болох уу ",Болно. Зээлийн судалгаагаар бизнесийн орлогоороо зээл төлөх боломжтой байвал бизнесийн зээл авч болно.
Бизнесийн зээлд орлого нотлох баримт гэж ямар баримт шаардах вэ ,Иргэн бол сүүлийн 6 сарын бизнесийн орлого дамжсан дансны хуулга. Хуулийн этгээд бол татварын албанаас баталгаажсан тайлан.
Бизнесийн зээлд ямар барьцаа хөрөнгө шаардах вэ ,"Үл хөдлөх эд хөрөнгө, хөдлөх эд хөрөнгө, эргэлтийн хөрөнгө барьцаална."
Хөдлөх хөрөнгөд юу юу ордог вэ ,"Хэвийн үйл ажиллагаатай машин, техник хэрэгсэл, тоног төхөөрөмж."
Барьцаа хөрөнгийг заавал даатгалд хамруулах уу ,Зээлээр санхүүжүүлж буй хөрөнгө бол заавал даатгуулна.
Зээлийн эргэн төлөлтөөс тодорхой хугацаагаар чөлөөлүүлж болох уу ,"Бизнесийн улирлын онцлог, орлогын давтамжаас хамааруулан үндсэн төлбөрөөс чөлөөлүүлж болно. Үндсэн төлбөрөөс чөлөөлүүлсэн саруудад зөвхөн хүүний төлбөр төлнө."
Бизнесийн зээлд өөрийн бус хөрөнгийг барьцаалж болох уу ,Болно. Зээлийн хэмжээнээс хамааран тодорхой хэмжээнд барьцаалах боломжтой.
"Эргэлтийн хөрөнгийн зээл, үндсэн хөрөнгийн зээл давхар авч болох уу ",Болно. Бизнесийн орлого барьцаа хөрөнгийн хэмжээнээс хамааран давхар зээл авч болно.
Барьцаа хөрөнгийг 2-оос дээш зээл дээр давхар барьцаалж болох уу ,Зөвхөн ХасБанкны 2-оос дээш зээлд давхар барьцаалж болно. Банк нь барьцаа хөрөнгийг тэргүүн ээлжинд шаардах эрхтэйгээр барьцаалдаг.
Барьцааны гэрээнд барьцаалуулагч заавал өөрийн биеэр ирж гарын үсэг зурах уу ,Тийм. Барьцааны гэрээнд насанд хүрээгүй хүүхдийг эцэг эх төлөөлөн барьцаа хөрөнгө хамтран өмчлөгчийн зөвшөөрөлд гарын үсэг зурна.
Зээл хугацаа хэтэрвэл барьцаа хөрөнгийг хурааж авах уу ,Зээл төлүүлэхтэй холбоотой арга хэмжээг авсны үр дүнд зээлийг барьцаа хөрөнгөөр үүргийн гүйцэтгэл хангуулах шаардлагатай гэж үзвэл ШШГГ-н шийдвэрийн дагуу шийдвэрлэнэ.
Зээлийн судалгааг заавал газар дээр очиж үзэх үү ,Тийм. Газар дээр буюу таны бизнесийн үйл ажиллагааг зээлийн ажилтан очиж танилцан судалгааг хийнэ.
Зээлийн хугацаанд банканд санхүүгийн мэдээллүүдээ заавал шинэчлэн өгөх шаардалагтай юу ,Банкны зүгээс шаардсан бүх мэдээллийг гаргаж өгөх тухай зээлийн гэрээнд тусгасан байдаг.
“Бэлтгэн нийлүүлэгчийн зээл”-ийн үйлчилгээг авахын тулд ямар шалгуур хангах шаардлагатай вэ ,"Оюу Толгой ХХК-ийн ханган нийлүүлэгч байх; Хүчин төгөлдөр гэрээтэй байх; Нийлүүлсэн бараа, ажил үйлчилгээний төлбөрийг ХасБанкин дахь дансаар хүлээн авах; Тухайн бизнесийн үйл ажиллагааг эрхлэхэд тусгай зөвшөөрөл шаардагддаг бол уг тусгай зөвшөөрлийг эрх бүхий байгууллагаас авсан байх;"
Ямар бичиг баримт бүрдүүлэх вэ ,"Аж ахуй нэгжийн анкет, өргөдөл; Удирдлага хувь нийлүүлэгчдийн анкет, иргэний үнэмлэхний хуулбар; Oюу Толгой ХХК-иар баталгаажуулсан нэхэмжлэх; Oюу Толгой ХХК-тай байгуулсан ханган нийлүүлэлтийн гэрээ ; Тухайн бизнесийн үйл ажиллагааг эрхлэхэд шаардлагатай тусгай зөвшөөрөл / тусгай зөвшөөрөл шаардлагатай бол/; Бусад."
“Бэлтгэн нийлүүлэгчийн зээл”-ийн үйлчилгээг авах процессыг тайлбарлана уу ,"Та захиалгын дагуу бараа нийлүүлэн эсхүл үйлчилгээг Оюу Толгой ХХК – дүзүүлнэ; Та нэхэмжлэхээ Оюу Толгой ХХК – аар баталгаажуулан авна: Та бэлтгэн нийлүүлэгчийн зээлийн хүсэлтээ ХасБанкинд гаргаж холбогдох бичиг баримтыг бүрдүүлж өгнө; ХасБанк ханган нийлүүлэгчтэй холбогдох гэрээг байгуулж, гэрээний дагуу санхүүжилтийг олгоно."
Гадаад баталгаа нээлгэхэд ямар бичиг баримтууд бүрдүүлэх вэ ,Эх үүсвэртэй Баталгаа:
ХасБанк дэлхийн ямар улсууд руу баталгаа гаргаж чадах вэ ,Таны харилцагч дэлхийн аль ч оронд байсан ХасБанк баталгааг гаргах болно.
Гадаад баталгааны талаархи илүү дэлгэрэнгүй мэдээллийг хэнээс авч болох вэ ,Та өөрт ойрхон ХасБанкны салбар дээрочиж илүү дэлгэрэнгүй мэдээллийг түргэн шуурхай аваарай.
1. Дижитал банкны үйлчилгээнд хэрхэн бүртгүүлэх вэ ,"XacBank Digital апп татаж авах эсхүл вэбээр нэвтрэх бол https://digital.xacbank.mn/XACBaseApp/ дарна уу; Өөрт ойр байрлах ХасБанкны дурын салбар, нэгжид иргэний цахим үнэмлэхээ авч очно уу. Харилцагч хуулийн этгээд нь:"
2. Дижитал банкаар ямар төрлийн үйлчилгээг авах вэ ,"Банкинд бэлэн мөнгө тушаах, данснаас бэлэн зарлага гаргахаас бусад бүх үйлчилгээг авч болно. Үүнд:"
3. Дижитал банкны үйлчилгээг гар утаснаасаа ашиглах боломжтой юу ,"Тийм, та манай интернэт банкны аппликэшнийг өөрийн Android, iOS үйлдлийн системийн гар утсандаа суулгаж, ашиглах боломжтой."
4. Нэвтрэх нууц үгээ мартсан бол яах вэ ,"“Нэвтрэх цонх”-ны доор байрлах “Нууц үг мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, шинэ нууц үгээ үүсгэнэ."
5. Гүйлгээний нууц үгээ мартсан бол яах вэ ,"Гүйлгээ (банк хоорондын гүйлгээ эсхүл банк дотроо) хийх гэж буй мэт ороод гүйлгээний нууц хийх цонхны доор ""гүйлгээний нууц үг мартсан"" холбоос дээр дарж шинээр гүйлгээний нууц үгээ оруулна."
6. Дижитал банкинд нэвтрэх нэрээ мартсан бол яах вэ ,"“Нэвтрэх цонх”-ны доор байрлах “Нэр мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, нэвтрэх нэрээ авна. Харилцагчийн Үйлчилгээний Төвийн 1800-1888 дугаарт залгаж, эсвэл дурын салбарт өөрийн биеэр очиж лавлах боломжтой."
7. Нууц үгээ хэрхэн солих вэ ,Хэрэв та нэвтрэх эсвэл гүйлгээний нууц үгээ солих бол дижита банкны ТОХИРГОО цэснээс НУУЦ ҮГ СОЛИХ дэд цэсийг сонгон нууц үгээ шинэчлэх боломжтой.
9. Дижитал банкаар хийх гүйлгээний лимитээ хэрхэн нэмэгдүүлэх вэ ,Харилцагч иргэний хувьд: Дижитал банкны ТОХИРГОО цэснээс ЛИМИТ ТОХИРГОО-р өөрчилнө.
10. Дижитал банкаар банк хооронд гүйлгээ хийвэл хүлээн авагчийн дансанд ямар хугацааны дараа орох вэ ,Дижитал банкаар хийж буй банк хоорондын 5 сая төгрөгөөс доош дүнтэй гүйлгээ нь гүйлгээ хийсэн даруйд шилжих бөгөөд 5 сая төгрөгөөс дээших дүнтэй гүйлгээний хувьд ажлын өдрүүдэд 2 цагийн дотор шилжих болно.
11. Гүйлгээний нууц үг ашиглахгүйгээр гүйлгээ хийх боломжтой юу ,Зөвхөн өөрийн данс хооронд гүйлгээ хийхэд харилцагчаас гүйлгээний нууц үг шаарддаггүй.
Импортын аккредитив нээлгэхэд ямар бичиг баримтууд бүрдүүлэх вэ ,Хэрэв дансандаа мөнгөө байршуулах буюу эх үүсвэртэй нээлгэх бол:
Аккредитив нээлгэх хүсэлтийн маягтыг хэрхэн бөглөх вэ ,Аккредитив нээлгэх хүсэлтийн маягтыг хэрхэн бөглөх зааврыг Энд даржүзнэ үү.
ХасБанк дэлхийн ямар улсууд руу импортын аккредитив гаргаж чадах вэ ,Таны харилцагч дэлхийн аль ч оронд байсан ХасБанк импортын аккредитивыг гаргах болно.
Импортын аккредитивын талаархи илүү дэлгэрэнгүй мэдээллийг хэнээс авч болох вэ ,Та өөрт ойрхон ХасБанкны салбар дээр очиж илүү дэлгэрэнгүй мэдээллийг түргэн шуурхай аваарай.
"Картаа гээж, үрэгдүүлсэн тохиолдолд хэнд хандах вэ ","ХасБанкны Харилцагчийн Үйлчилгээний Төвийн 1800-1888 дугаарын утсанд хандаж картаа хаалгаарай. Таны картыг түр хаах бөгөөд картаа олсон бол карт, бичиг баримтын хамт ХасБанкны өөрт аль ойр байрлах салбар, тооцооны төвд биечлэн хүсэлт гаргаж картаа нээлгэнэ."
Картын пин кодоо мартсан тохиолдолд яах вэ ,"Та төлбөрийн картынхаа пин кодыг мартсан эсхүл блоклосон бол дижитал банкны карт цэсээр орж, картаа сонгоод “пин солих” гэсэн үйлдлийг ашиглаж пин кодоо шинээр үүсгээрэй. Хэрэв та дижитал банканд бүртгэлгүй бол ЭНД дарж бүртгүүлнэ үү."
Интернэт худалдан авалт яаж хийх вэ ,"ХасБанкны АТМ төхөөрөмжөөс интернэт код авна (шимтгэлгүй). Интернэт худалдаа, үйлчилгээний цахим хуудас руу хандаж картын нууцлалын тэмдэгтүүд болох дараах мэдээллүүдийг оруулна. Эдгээр мэдээллүүд нь картын нууцлалын тэмдэгтүүд тул та бусдад мэдэгдэхгүйн тулд нууцлана уу."
АТМ-с нэг удаадаа хэдэн төгрөг гардаг вэ ,Монгол улсад АТМ-р хийх нэг удаагийн гарах гүйлгээ 40 дэвсгэртээр хязгаарлагддаг. Харин гадаадад банкнаасаа шалтгаалаад нэг удаагийн гүйлгээний лимит ялгаатай болохыг анхаарна уу.
Картаар хийх өдрийн лимит хэд байдаг вэ ,Картаар хийх өдрийн лимит нь карт бүрээрээ өөр өөр байдаг.
Кредит карт гэж юу вэ ,Банкнаас таны хувийн хэрэглээнд зориулан олгосон зээлийн эрх бүхий төлбөрийн карт юм.
