name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
ХасБанк төв байр ATM,KhasBank Central ATM,atm,"8-р хороо  Ерөнхий сайд Амарын гудамж 
 Сүхбаатарын талбайн зүүн талд  ХасБанк төв байр ",Micro-region  8  Prime Minister Amar`s Street  XacBank HQ Building,24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,12:00:00 AM,11:59:00 PM
ХасБанк Төв салбар ATM,XacBank Central Branch ATM,atm,"1-р хороо  Энхтайваны өргөн чөлөө  Чингүнжавын гудамж
 Боловсролын Их Сургуулийн замын урд ",Micro-region  1  Peace avenue  Chingunjav str. XacBank Central Branch,24 цаг,24 hour,1800-1888,1,1,1,1,1,1,1,12:00:00 AM,11:59:00 PM
Баянгол Техникийн Хяналтын үзлэгийн төв,KHUSUG TRADE AUTO ONSHILGOO ATM,atm,"29-р хороо  ТЭЦ-4-ийн зам
 Хөсөг трейд Баянгол Техникийн Хяналтын үзлэгийн төв ",KHUSUG TRADE AUTO ONSHILGOO,Даваа-Ням: 10-18 цаг,Mon-Sun: 10:00-18:00,1800-1888,1,1,1,1,1,1,1,10:00:00 AM,6:00:00 PM
УБ их дэлгүүр ATM,Ulaanbaatar Department Store ATM,atm,"4-р хороо  Энхтайваны өргөн чөлөө
 Энхтайван найрамдлын ордны замын урд ",Micro-region  4  Peace Avenue  Ulaanbaatar Department Store,Даваа-Ням: 09-20 цаг,Mon-Sun: 9:00-20:00,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
100 айл салбар ATM,XacBank 100 ail Branch ATM,atm,"10-р хороо  Цагдаагийн гудамж
 100 айл ",Micro-region  10  Tsagdaa str  XacBank 100 ail Branch,"Даваа гарагт амарна.
Бусад өдөр 10-19 цаг","Monday closed.
Tue-Sun:10:00-19:00 ",1800-1888,0,1,1,1,1,1,1,10:00:00 AM,7:00:00 PM
Их-Орд лоби зарлага ATM,Ikh ord lobby,atm,"14-р хороо  Их Орд төв
 Халдвартын эмнэлэгийн баруун талд ",Micro-region   14  Ikh ord tuv,Даваа-Ням: 24 цаг,Mon-Sun: 24 hour,1800-1888,1,1,1,1,1,1,1,6:00:00 AM,11:59:00 PM
Хүсэл төв ATM,Khusel center ATM,atm,14-р хороо  Хандгайтын гудамж  7 буудал,Micro-region  14  Khandgait str   7-n Buudal  Khusel center,Даваа-Ням: 08-24 цаг,Mon-Sun 08 am-12 pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:59:00 PM
Миний дэлгүүр ATM,Minii delguur market ATM,atm,14-р хороо  Бэлхийн зам  Дамбадаржаа,Micro-region   14  Belhi rd  Dambadarjaa  Minii delguur market,Даваа-Ням: 08-21 цаг,Mon-Sun 08:00-21:00,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,9:00:00 PM
И-Март Хан-Уул орлого АТМ,E-Mart Khan-Uul Express CRM-ATM,atm,15-р хороо  Стадион Оргил  17011   Их монгол улсын гудамж 71  Имарт Хан-Уул,15th khoroo  Ikh Mongol street 71  E-Mart Khan-Uul,09:00-22:00,09:00am-10:00pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
1-р төрөх эмнэлэг АТМ,First maternity hospital ATM,atm,1-р хороо  1-р төрөх эмнэлэг,1st khoroo  First maternity hospital,Даваа-Ням: 24 цаг,Mon-Sun: 24 hours,1800-1888,1,1,1,1,1,1,1,12:00:00 AM,11:59:00 PM
Ачлал дэлгүүр ATM,Achlal center ATM,atm,14-р хороо  Ард Аюушийн өргөн чөлөө  3-р хороолол,Micro-region  14  Ard Ayush avenue   District  3  Achlal center,Даваа-Ням: 10-20 цаг,Mon-Sun: 10:00-20:00 ,,1,1,1,1,1,1,1,10:00:00 AM,8:00:00 PM
Цирк Авто Тээврийн Үндэсний төв,CIRCUS ATUT АТМ,atm,2-р хороо  220 мянгат Цирк  АТҮТ ,2th khoroo  220k  Circus ATUT  1st floor ,Даваа-Баасан 08:30-17:30 цаг,08:30-17:30 hour,1800-1888,1,1,1,1,1,0,0,8:30:00 AM,5:30:00 PM
Баянгол салбар ATM,XacBank Bayangol Branch ATM,atm,"13-р хороо  Ард Аюушийн өргөн чөлөө
3-р хороолол Өргөө Кино театрын баруун талд",Micro-region  13  Ard Ayush avenue   District  3  XacBank Bayangol Branch,Даваа-Ням 24 7,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:59:00 PM
Архангай Бүрэн хайпермаркет ATM,Arkhangai Buren hypermarket ATM,atm,Архангай Цэцэрлэг хот,Arkhangai Tsetserleg,Даваа-Ням: 10-21 цаг,Mon-Sun 10:00-21:00 ,,1,1,1,1,1,1,1,10:00:00 AM,9:00:00 PM
Старс дэлгүүр ATM,Stars Center ATM,atm,"2-р хороо  Энхтайваны өргөн чөлөө  
ТБД Андууд",Micro-region  2  Peace Avenue  Stars Center,Даваа-Ням: 10-21 цаг,Mon-Sun 10:00-21:00 ,,1,1,1,1,1,1,1,10:00:00 AM,9:00:00 PM
УБ Төмөр замын буудал ATM,Ulaanbaatar Railway Staion ATM,atm,1-р хороо  Нарны зам  Вокзал,Micro-region  1  Narnii Rd  Ulaanbaatar Railway Staion,Даваа-Ням: 08-23 цаг,Mon-Sun 08:00-23:00,,1,1,1,1,1,1,1,8:00:00 AM,11:00:00 PM
Төмөр замын эмнэлэг АТМ,Ulaanbaatar Railway Hospital ATM,atm,4-р хороо  Энхтайваны өргөн чөлөө,Micro-region  4  Peace Avenue  Ulaanbaatar Railway Hospital,Даваа-Ням: 08-20 цаг,Mon-Sun: 08:00-20:00 ,,1,1,1,1,1,1,1,8:00:00 AM,8:00:00 PM
Орхон зах ATM,Orkhon Market ATM,atm,"19-р хороо  Энхтайваны өргөн 
Кокүшүю Тауэрын баруун талд ",Micro-region  19  Peace Avenue  Orkhon Market,"Даваа-Ням: 10-20 цаг
Пүрэв гарагт амарна","Mon-Sun: 10:00-20:00
Thu: Closed ",,1,1,1,0,1,1,1,10:00:00 AM,8:00:00 PM
